siRNA,gene,abundance,replicate,outlier
siTLR8,Viral RNA,14204309,1,
siTLR9,Viral RNA,28232435,1,
siMyD88,Viral RNA,15687579,1,
siTRIF - TICAM,Viral RNA,5485247,1,
siRIG-I_DDX58,Viral RNA,55181322,1,
siMDA5_IFIH1,Viral RNA,8746428,1,
siLPG2_DHX58,Viral RNA,17040033,1,
siMAVS,Viral RNA,21864249,1,
Mock Uninfected,Viral RNA,13,2,
Mock Infected,Viral RNA,5629905,2,
Mock Uninfected,Viral RNA,0,2,
Mock Infected,Viral RNA,7917330,2,
siScramble uninfected,Viral RNA,1,2,
siScramble Infected,Viral RNA,5948271,2,
siTLR3,Viral RNA,6707015,2,
siTLR7,Viral RNA,17706072,2,
siTLR8,Viral RNA,7406217,2,
siTLR9,Viral RNA,9240409,2,
siMyD88,Viral RNA,9281435,2,
siTRIF - TICAM,Viral RNA,7134577,2,
siRIG-I_DDX58,Viral RNA,29817955,2,
siMDA5_IFIH1,Viral RNA,7247632,2,
siLPG2_DHX58,Viral RNA,15398364,2,
siMAVS,Viral RNA,25872864,2,
Mock Uninfected,Viral RNA,1,3,
Mock Infected,Viral RNA,4511435,3,
Mock Uninfected,Viral RNA,0,3,
Mock Infected,Viral RNA,15686259,3,
siScramble uninfected,Viral RNA,0,3,
siScramble Infected,Viral RNA,5669854,3,
siTLR3,Viral RNA,3804325,3,
siTLR7,Viral RNA,7543168,3,
siTLR8,Viral RNA,8282261,3,
siTLR9,Viral RNA,6490706,3,
siMyD88,Viral RNA,7448008,3,
siTRIF - TICAM,Viral RNA,11094528,3,
siRIG-I_DDX58,Viral RNA,21732921,3,
siMDA5_IFIH1,Viral RNA,8103957,3,
siLPG2_DHX58,Viral RNA,6398717,3,
siMAVS,Viral RNA,9269104,3,
Mock Uninfected,Viral RNA,0,4,
Mock Infected,Viral RNA,20734901,4,
Mock Uninfected,Viral RNA,0,4,
Mock Infected,Viral RNA,24040695,4,
siScramble uninfected,Viral RNA,0,4,
siScramble Infected,Viral RNA,22210531,4,
siTLR3,Viral RNA,13731427,4,
siTLR7,Viral RNA,18125162,4,
siTLR8,Viral RNA,59076375,4,
siTLR9,Viral RNA,25725754,4,
siMyD88,Viral RNA,51890749,4,
siTRIF - TICAM,Viral RNA,26578319,4,
siRIG-I_DDX58,Viral RNA,38178773,4,
siMDA5_IFIH1,Viral RNA,13043208,4,
siLPG2_DHX58,Viral RNA,13691766,4,
siMAVS,Viral RNA,66424280,4,
Mock Uninfected,Viral RNA,0,5,
Mock Infected,Viral RNA,19168904,5,
Mock Uninfected,Viral RNA,0,5,
Mock Infected,Viral RNA,13865627,5,
siScramble uninfected,Viral RNA,0,5,
siScramble Infected,Viral RNA,17366644,5,
siTLR3,Viral RNA,11830503,5,
siTLR7,Viral RNA,16678689,5,
siTLR8,Viral RNA,22678444,5,
siTLR9,Viral RNA,22029541,5,
siMyD88,Viral RNA,26288949,5,
siTRIF - TICAM,Viral RNA,13636496,5,
siRIG-I_DDX58,Viral RNA,66626653,5,
siMDA5_IFIH1,Viral RNA,21473024,5,
siLPG2_DHX58,Viral RNA,22297235,5,
siMAVS,Viral RNA,74242216,5,
