Bait	Protein ID	Protein accession	Gene name	Reproducibility	Abundance	Specificity	MiST	spec count	Fold change
Nsp15	CDK12	Q9NYV4	CDK12	0.9881	0.0001	0.7468	0.81678	9	90
Nsp15	NCF2	P19878	NCF2	0.9988	0.0004	1	0.99366	8.5	85
Nsp15	PPIG	Q13427	PPIG	0.9958	0.0003	1	0.99275	8.5	85
Nsp15	TAF2	Q6P1X5	TAF2	0.9435	0.0002	0.7684	0.81787	8.5	85
Nsp15	URB2	Q14146	URB2	0.9816	0.0001	0.7508	0.81751	8.5	85
Nsp2	GDS1	P52306	RAP1GDS1	0.9999	0.0073	1	0.99404	128.5	1285
Nsp2	STML2	Q9UJZ1	STOML2	0.9835	0.0023	0.8781	0.90539	23.5	235
Nsp2	GGYF2	Q6Y7W6	GIGYF2	0.9874	0.0004	1	0.99015	16.5	165
Nsp2	COX41	P13073	COX4I1	0.9965	0.0028	1	0.99297	13.5	135
Nsp2	FOXK1	P85037	FOXK1	0.9991	0.0006	1	0.99376	13	130
Nsp2	MTCH2	Q9Y6C9	MTCH2	1	0.0013	1	0.99405	11.5	115
Nsp2	NDUS1	P28331	NDUFS1	0.9788	0.0006	1	0.9875	11.5	115
Nsp2	COX5B	P10606	COX5B	0.9999	0.0025	1	0.99403	9.5	95
Nsp2	TMUB1	Q9BVT8	TMUB1	0.9999	0.0013	1	0.99402	9.5	95
Nsp2	COX5A	P20674	COX5A	0.9965	0.0021	1	0.99297	9	90
Nsp4	RD23A	P54725	RAD23A	0.9075	0.0008	1	0.9655	11.5	115
Nsp4	XPC	Q01831	XPC	0.9925	0.0002	0.787	0.84573	8.5	85
Nsp9	SPART	Q8N0X7	SPART	0.9993	0.0033	0.9155	0.93592	29	29
Nsp9	IF4H	Q15056	EIF4H	0.9996	0.0062	1	0.99395	20.5	205
Nsp9	H2AW	Q9P0M6	MACROH2A2	0.9986	0.0013	1	0.9936	17.5	175
Nsp9	EI2BA	Q14232	EIF2B1	0.9929	0.0032	1	0.99188	13	130
Nsp9	T2FB	P13984	GTF2F2	0.9988	0.0026	1	0.9937	8.5	8.5
Orf3a	VPS39	Q96JC1	VPS39	1	0.0073	1	0.99408	172.5	1725
Orf3a	ABCBB	O95342	ABCB11	0.9999	0.0065	1	0.99405	162	1620
Orf3a	CLCC1	Q96S66	CLCC1	0.9989	0.0063	0.9809	0.98064	91.5	915
Orf3a	HYOU1	Q9Y4L1	HYOU1	0.9996	0.0031	0.9161	0.93644	83	830
Orf3a	SERPH	P50454	SERPINH1	0.9985	0.0038	1	0.99359	42.5	425
Orf3a	HMOX1	P09601	HMOX1	0.9998	0.005	1	0.99402	38	380
Orf3a	TBL2	Q9Y4P3	TBL2	0.9994	0.0032	0.8734	0.90711	37.5	375
Orf3a	ALG5	Q9Y673	ALG5	0.9999	0.0041	1	0.99404	35	350
Orf3a	UGGG2	Q9NYU1	UGGT2	0.9971	0.0008	0.9485	0.95782	33.5	335
Orf3a	PDIA1	P07237	P4HB	0.9999	0.0025	0.8136	0.86627	33	66
Orf3a	PDIA4	P13667	PDIA4	0.9983	0.0015	1	0.99354	25.5	255
Orf3a	PLOD1	Q02809	PLOD1	0.9876	0.0013	0.7934	0.8486	25	250
Orf3a	ACTN2	P35609	ACTN2	0.9893	0.0009	1	0.99073	22.5	225
Orf3a	CBPD	O75976	CPD	0.9999	0.0006	1	0.99402	21	210
Orf3a	PLOD2	O00469	PLOD2	0.9989	0.001	1	0.99371	20	200
Orf3a	GALT2	Q10471	GALNT2	0.99	0.0013	0.7934	0.84933	19.5	195
Orf3a	PTPRD	P23468	PTPRD	0.9971	0.0004	1	0.99314	19	190
Orf3a	FKB10	Q96AY3	FKBP10	0.9964	0.0012	0.8944	0.92057	18.5	185
Orf3a	TTC13	Q8NBP0	TTC13	0.9999	0.0007	1	0.99402	16	160
Orf3a	SUMF2	Q8NBJ7	SUMF2	0.9981	0.002	1	0.99346	16	160
Orf3a	PPIB	P23284	PPIB	0.9867	0.0028	1	0.98994	16	160
Orf3a	MCUB	Q9NWR8	MCUB	0.9995	0.0015	1	0.9939	13.5	135
Orf3a	CHPF2	Q9P2E5	CHPF2	0.9995	0.0007	1	0.99389	13.5	135
Orf3a	ARMX3	Q9UH62	ARMCX3	0.9981	0.0012	1	0.99347	12.5	125
Orf3a	MA1A1	P33908	MAN1A1	0.9384	0.0007	1	0.97505	12.5	125
Orf3a	HMOX2	P30519	HMOX2	0.9994	0.0015	0.8505	0.89135	12.5	125
Orf3a	H6ST3	Q8IZP7	HS6ST3	0.9999	0.0007	1	0.99402	12	120
Orf3a	CGT	Q16880	UGT8	0.9962	0.0008	1	0.99287	12	120
Orf3a	MGAT1	P26572	MGAT1	0.9772	0.001	1	0.98702	12	120
Orf3a	GL8D1	Q68CQ7	GLT8D1	0.9962	0.0012	0.8683	0.9026	12	120
Orf3a	KCRB	P12277	CKB	0.9962	0.0012	0.7785	0.84105	12	24
Orf3a	MGAT2	Q10469	MGAT2	0.9992	0.001	0.8645	0.90093	11.5	115
Orf3a	PDIA6	Q15084	PDIA6	0.9856	0.001	0.7998	0.85237	11.5	23
Orf3a	KIT	P10721	KIT	0.9925	0.0004	1	0.99174	11	110
Orf3a	PGK2	P07205	PGK2	0.9731	0.001	1	0.98576	11	22
Orf3a	TXND5	Q8NBS9	TXNDC5	0.9999	0.001	0.8358	0.88143	11	22
Orf3a	ERP44	Q9BS26	ERP44	0.9975	0.001	1	0.99328	10.5	105
Orf3a	LMA2L	Q9H0V9	LMAN2L	0.9829	0.0011	1	0.98878	10.5	105
Orf3a	EPCR	Q9UNN8	PROCR	0.9829	0.0017	1	0.98878	10.5	105
Orf3a	RAB13	P51153	RAB13	0.955	0.002	1	0.98018	10.5	105
Orf3a	FUCO2	Q9BTY2	FUCA2	0.9943	0.0008	1	0.99227	10	100
Orf3a	ERO1A	Q96HE7	ERO1A	0.9943	0.0008	1	0.99227	10	6.666666667
Orf3a	NDST1	P52848	NDST1	0.9678	0.0004	1	0.98411	10	100
Orf3a	P3H3	Q8IVL6	P3H3	0.9678	0.0005	1	0.98411	10	100
Orf3a	UMPS	P11172	UMPS	0.9971	0.0007	1	0.99315	9.5	95
Orf3a	EDEM3	Q9BZQ6	EDEM3	0.9971	0.0004	1	0.99314	9.5	95
Orf3a	TRI59	Q8IWR1	TRIM59	0.9999	0.0008	1	0.99402	9	90
Orf3a	SIL1	Q9H173	SIL1	0.9999	0.0007	1	0.99402	9	90
Orf3a	TM131	Q92545	TMEM131	0.9999	0.0002	1	0.99401	9	90
Orf3a	SRPRA	P08240	SRPRA	0.9927	0.0005	1	0.9918	9	90
Orf3a	TXD11	Q6PKC3	TXNDC11	0.9893	0.0003	1	0.99073	9	90
Orf3a	TTC17	Q96AE7	TTC17	0.9674	0.0003	1	0.98398	9	90
Orf3a	RAB14	P61106	RAB14	0.9606	0.0016	1	0.9819	9	90
Orf3a	ALDOB	P05062	ALDOB	0.9893	0.0009	0.7779	0.8385	9	9
Orf3a	AR6P6	Q8N6S5	ARL6IP6	0.9983	0.0014	1	0.99354	8.5	85
Orf3a	TXD16	Q9P2K2	TXNDC16	0.9801	0.0004	1	0.98789	8.5	85
Orf3a	SPCS2	Q15005	SPCS2	0.9965	0.0014	0.7958	0.85301	8.5	85
Orf6	BRE1B	O75150	RNF40	0.9985	0.0047	1	0.99361	97.5	48.75
Orf6	CP250	Q9BV73	CEP250	1	0.0018	1	0.99405	89.5	895
Orf6	BRE1A	Q5VTR2	RNF20	0.9998	0.0037	1	0.99399	75.5	755
Orf6	PCNT	O95613	PCNT	0.9998	0.001	1	0.99399	72	720
Orf6	MYCB2	O75592	MYCBP2	0.9998	0.0007	0.8089	0.86297	71.5	11.91666667
Orf6	TGO1	Q5JRA6	MIA3	0.9985	0.0018	1	0.99359	69.5	695
Orf6	EDC4	Q6P2E9	EDC4	0.9999	0.0023	0.9796	0.98008	67	44.66666667
Orf6	KINH	P33176	KIF5B	0.9999	0.0024	0.9721	0.97488	48.5	32.33333333
Orf6	GOGA3	Q08378	GOLGA3	0.9939	0.0015	0.8329	0.87761	45.5	5.055555556
Orf6	PCM1	Q15154	PCM1	0.9952	0.0011	1	0.99258	45	450
Orf6	SNX5	Q9Y5X3	SNX5	0.9999	0.0046	1	0.99405	38.5	385
Orf6	GOGB1	Q14789	GOLGB1	0.9904	0.0005	1	0.99109	36	360
Orf6	NDE1	Q9NXR1	NDE1	0.9996	0.0042	1	0.99395	29	290
Orf6	GOGA5	Q8TBA6	GOLGA5	0.9952	0.0018	1	0.99258	27	270
Orf6	SIKE1	Q9BRV8	SIKE1	0.9961	0.006	1	0.99287	26	260
Orf6	ITPR3	Q14573	ITPR3	0.9824	0.0004	1	0.98862	23.5	235
Orf6	CCD22	O60826	CCDC22	0.9936	0.0018	1	0.99208	23	230
Orf6	KIF7	Q2M1P5	KIF7	0.9993	0.0008	1	0.99384	22.5	225
Orf6	RB6I2	Q8IUD2	ERC1	0.9952	0.001	1	0.99258	22	220
Orf6	FYCO1	Q9BQS8	FYCO1	0.9991	0.0007	1	0.99376	21.5	215
Orf6	TXLNA	P40222	TXLNA	1	0.0018	1	0.99404	20.5	205
Orf6	LUZP1	Q86V48	LUZP1	0.9916	0.0008	1	0.99145	18.5	185
Orf6	RAE1L	P78406	RAE1	0.9972	0.0023	1	0.99319	17.5	11.66666667
Orf6	BICD1	Q96G01	BICD1	0.9963	0.001	1	0.99292	16.5	165
Orf6	CAMP1	Q5T5Y3	CAMSAP1	0.9963	0.0005	1	0.99291	16.5	165
Orf6	DCTN2	Q13561	DCTN2	0.9911	0.002	1	0.99129	16.5	8.25
Orf6	TANK	Q92844	TANK	0.9997	0.0018	1	0.99397	16	160
Orf6	DCTN1	Q14203	DCTN1	0.9986	0.0006	1	0.99361	16	160
Orf6	RUFY1	Q96T51	RUFY1	0.9852	0.0011	1	0.98948	16	160
Orf6	NU214	P35658	NUP214	0.9984	0.0003	1	0.99355	14.5	145
Orf6	PIBF1	Q8WXW3	PIBF1	0.9952	0.0009	1	0.99258	14	140
Orf6	CP131	Q9UPN4	CEP131	0.9919	0.0006	1	0.99156	13.5	135
Orf6	PCY1B	Q9Y5K3	PCYT1B	0.9988	0.0017	1	0.99367	12.5	125
Orf6	CLIP1	P30622	CLIP1	0.9895	0.0006	1	0.99079	12.5	125
Orf6	TPR	P12270	TPR	0.9564	0.0003	1	0.9806	12	120
Orf6	TBK1	Q9UHD2	TBK1	0.9982	0.0008	1	0.99349	11.5	115
Orf6	RABE1	Q15276	RABEP1	0.9888	0.0007	1	0.9906	11.5	115
Orf6	NIN	Q8N4C6	NIN	0.9681	0.0016	1	0.98422	11.5	23
Orf6	CC186	Q7Z3E2	CCDC186	0.9952	0.0006	1	0.99258	11	110
Orf6	ITPR2	Q14571	ITPR2	0.9992	0.0002	1	0.99379	10.5	105
Orf6	TRAF2	Q12933	TRAF2	0.9881	0.001	1	0.99037	10.5	105
Orf6	CNTRL	Q7Z7A1	CNTRL	0.9881	0.0002	1	0.99037	10.5	105
Orf6	CP135	Q66GS9	CEP135	0.9815	0.0004	1	0.98832	10.5	105
Orf6	RUFY3	Q7L099	RUFY3	0.9952	0.001	1	0.99258	10	100
Orf6	SH3G3	Q99963	SH3GL3	0.9952	0.0013	1	0.99258	10	100
Orf6	NDEL1	Q9GZM8	NDEL1	0.9766	0.0014	1	0.98682	10	100
Orf6	RFWD3	Q6PCD5	RFWD3	0.9859	0.0005	1	0.98971	8.5	85
Orf7a	HSP77	P48741	HSPA7	0.9997	0.0008	1	0.99395	19.5	19.5
Orf7a	HD	P42858	HTT	0.9983	0.0002	0.738	0.8139	19	190
Orf7a	GLU2B	P14314	PRKCSH	0.9958	0.001	1	0.99274	18.5	185
Orf7a	STIM1	Q13586	STIM1	0.9946	0.0004	1	0.99238	11	110
Orf7a	D19L2	Q6NUT2	DPY19L2	0.9843	0.0004	1	0.98919	10.5	105
Orf7a	UB2J1	Q9Y385	UBE2J1	0.9921	0.0009	1	0.9916	10	100
Orf7a	ATR	Q13535	ATR	1	0.0001	1	0.99404	9	90
Orf7a	UCHL5	Q9Y5K5	UCHL5	0.9979	0.0007	1	0.99339	8.5	85
Orf7a	TOM1	O60784	TOM1	0.9971	0.0005	1	0.99315	8.5	85
Orf8	RPAP1	Q9BWH6	RPAP1	0.998	0.0005	0.9058	0.92886	23	46
Orf8	TBCD1	Q86TI0	TBC1D1	0.998	0.0004	1	0.99343	18	180
Orf8	HGH1	Q9BTY7	HGH1	0.994	0.0008	1	0.99219	10.5	105
Orf8	CNNM3	Q8NE01	CNNM3	0.9886	0.0003	1	0.99054	8.5	85
N	G3BP1	Q13283	G3BP1	0.9999	0.0086	1	0.99406	79.5	10.84090909
N	ROA3	P51991	HNRNPA3	1	0.0089	0.9041	0.92834	66.5	6.65
N	RMXL3	Q8N7X1	RBMXL3	0.9967	0.005	0.7282	0.80672	38.5	5.775
N	ELAV1	Q15717	ELAVL1	0.9997	0.0051	0.8508	0.89171	33	6.1875
N	G3BP2	Q9UN86	G3BP2	0.9945	0.0031	1	0.99236	30	15
N	HSP74	P34932	HSPA4	0.9999	0.0017	0.8011	0.8577	28	28
N	MRM3	Q9HC36	MRM3	0.9889	0.0028	1	0.99065	23	17.25
N	TFB1M	Q8WVM0	TFB1M	0.9998	0.0031	1	0.99401	21	63
N	HNRL2	Q1KMD3	HNRNPUL2	0.9764	0.0012	1	0.98677	17.5	7.5
N	F120A	Q9NZB2	FAM120A	0.9982	0.0007	1	0.99348	16.5	7.071428571
N	IF2B2	Q9Y6M1	IGF2BP2	0.9952	0.0013	1	0.99256	15.5	5.166666667
N	HS74L	O95757	HSPA4L	0.9665	0.0009	0.785	0.83634	15.5	7.75
N	ZFR	Q96KR1	ZFR	0.9982	0.0005	1	0.99348	11.5	115
N	CAVN1	Q6NZI2	CAVIN1	0.986	0.0015	1	0.98972	11.5	115
N	HNRDL	O14979	HNRNPDL	0.9953	0.0012	1	0.9926	10	10
Nsp10	P5CS	P54886	ALDH18A1	0.9981	0.0021	0.9362	0.94974	36.5	365
Nsp10	DNJC7	Q99615	DNAJC7	0.9991	0.0031	0.7595	0.82894	34.5	10.35
Nsp10	ADPPT	Q9NRN7	AASDHPPT	0.9997	0.0041	0.8906	0.91897	28.5	21.375
Nsp10	GALK1	P51570	GALK1	0.998	0.0031	0.7251	0.805	27.5	13.75
Nsp10	AL7A1	P49419	ALDH7A1	0.997	0.0015	1	0.99311	18.5	185
Nsp10	CAND1	Q86VP6	CAND1	0.9998	0.0007	0.8575	0.89627	18	54
Nsp10	CDK4	P11802	CDK4	0.999	0.0022	1	0.99373	15	150
Nsp10	XPO5	Q9HAV4	XPO5	0.9933	0.0006	1	0.99199	15	150
Nsp10	RRP44	Q9Y2L1	DIS3	0.9994	0.0007	0.7328	0.8107	15	22.5
Nsp10	PELO	Q9BRX2	PELO	0.9962	0.0017	1	0.99289	14.5	145
Nsp10	HXK3	P52790	HK3	0.999	0.0007	1	0.99373	14	42
Nsp10	TES	Q9UGI8	TES	0.9841	0.0014	0.7666	0.82911	13.5	135
Nsp10	ERF3B	Q8IYD1	GSPT2	0.999	0.0012	1	0.99373	13	130
Nsp10	SYTM	Q9BW92	TARS2	0.9951	0.0008	1	0.99253	12.5	37.5
Nsp10	XPOT	O43592	XPOT	1	0.0006	0.8335	0.87992	12.5	18.75
Nsp10	RNBP6	O60518	RANBP6	0.9807	0.0005	0.7584	0.82248	12.5	37.5
Nsp10	NMD3	Q96D46	NMD3	0.999	0.0011	1	0.99373	12	120
Nsp10	KITH	P04183	TK1	0.97	0.0023	1	0.9848	12	120
Nsp10	DPOD1	P28340	POLD1	0.9878	0.0005	0.8035	0.8556	12	120
Nsp10	ZYX	Q15942	ZYX	0.999	0.0009	1	0.99373	11	6.6
Nsp10	TRIP6	Q15654	TRIP6	0.998	0.001	0.7899	0.84938	11	110
Nsp10	IDH3B	O43837	IDH3B	0.999	0.0012	1	0.99373	10	100
Nsp10	OSGEP	Q9NPF4	OSGEP	0.9972	0.0013	1	0.99318	10	100
Nsp10	NKRF	O15226	NKRF	0.9972	0.0006	0.7968	0.85386	10	6
Nsp10	ZC3HF	Q8WU90	ZC3H15	0.9998	0.001	1	0.994	9.5	95
Nsp10	CARM1	Q86X55	CARM1	0.9941	0.0007	1	0.99223	9.5	9.5
Nsp10	MSH6	P52701	MSH6	0.999	0.0003	1	0.99372	9	90
Nsp10	TRIM1	Q9UJV3	MID2	0.9997	0.0006	1	0.99394	8.5	85
Nsp10	SYAC	P49588	AARS1	0.9933	0.0004	1	0.99197	8.5	85
Nsp14	SIR5	Q9NXA8	SIRT5	0.9859	0.0037	1	0.98971	20	200
Nsp14	CRKL	P46109	CRKL	0.9997	0.0034	0.898	0.92405	18	6
Nsp14	PRDX4	Q13162	PRDX4	0.9993	0.0036	0.7569	0.82721	17	25.5
Nsp14	2ABG	Q9Y2T4	PPP2R2C	0.9884	0.0017	0.7881	0.84518	13.5	40.5
Nsp14	UGGG1	Q9NYU2	UGGT1	0.9993	0.0005	1	0.99384	12.5	125
Nsp14	PRDX5	P30044	PRDX5	0.9662	0.0026	1	0.98363	10	100
Nsp14	SPB6	P35237	SERPINB6	0.9564	0.0015	0.7987	0.8426	9.5	28.5
Nsp14	CNBP	P62633	CNBP	0.9945	0.0027	0.761	0.82853	8.5	8.5
Nsp16	RINI	P13489	RNH1	0.9981	0.004	0.8131	0.86534	17.5	175
Nsp16	CCD22	O60826	CCDC22	0.9821	0.0022	1	0.98852	13	130
Nsp3	VDAC2	P45880	VDAC2	1	0.0071	0.7313	0.80986	47	47
Nsp3	DJC11	Q9NVH1	DNAJC11	0.9951	0.0036	1	0.99256	45.5	455
Nsp3	VDAC1	P21796	VDAC1	0.9967	0.005	1	0.99305	32	320
Nsp3	MTCH2	Q9Y6C9	MTCH2	0.9968	0.0036	0.7263	0.80546	24.5	245
Nsp3	MIC60	Q16891	IMMT	0.9939	0.0013	0.9009	0.92421	23	17.25
Nsp3	ATPO	P48047	ATP5PO	0.9911	0.0045	1	0.99131	21.5	215
Nsp3	ATPG	P36542	ATP5F1C	0.9978	0.003	0.8877	0.91637	20	30
Nsp3	CALX	P27824	CANX	0.9958	0.0014	0.8796	0.91021	18.5	185
Nsp3	ERLEC	Q96DZ1	ERLEC1	0.9979	0.0016	1	0.99341	17	170
Nsp3	AT5F1	P24539	ATP5PB	0.9995	0.0028	1	0.99392	16.5	165
Nsp3	VDAC3	Q9Y277	VDAC3	0.9963	0.0023	1	0.99291	15	150
Nsp3	ERLN2	O94905	ERLIN2	0.9994	0.0019	0.8556	0.89484	14.5	145
Nsp3	ATP5H	O75947	ATP5PD	0.9968	0.0038	1	0.99308	14	140
Nsp3	SURF4	O15260	SURF4	1	0.0021	1	0.99405	13	130
Nsp3	RPN2	P04844	RPN2	0.9991	0.0009	1	0.99377	12.5	125
Nsp3	SE1L1	Q9UBV2	SEL1L	0.9887	0.0007	1	0.99055	12.5	125
Nsp3	TMM43	Q9BTV4	TMEM43	0.9956	0.0013	1	0.99268	12	120
Nsp3	PHB	P35232	PHB	0.9886	0.0019	1	0.99054	11.5	115
Nsp3	PHB2	Q99623	PHB2	0.9867	0.0017	1	0.98995	11.5	17.25
Nsp3	PRS6B	P43686	PSMC4	1	0.0011	1	0.99404	10	15
Nsp3	FAF2	Q96CS3	FAF2	0.9935	0.001	0.7979	0.85349	10	10
Nsp3	SPTC1	O15269	SPTLC1	0.9902	0.0008	1	0.99103	9	90
Nsp3	FXR1	P51114	FXR1	0.9993	0.0069	1	0.99388	96	20.57142857
Nsp3	FMR1	Q06787	FMR1	0.9696	0.0026	1	0.98468	36.5	21.9
Nsp3	FXR2	P51116	FXR2	0.9871	0.0022	1	0.99008	33.5	10.05
Nsp3	ZN363	Q96PM5	RCHY1	0.999	0.0023	1	0.99373	13.5	135
Nsp3	PGK2	P07205	PGK2	0.9707	0.0013	0.8305	0.86884	12.5	37.5
Nsp3	MKRN2	Q9H000	MKRN2	0.9984	0.0011	1	0.99356	10.5	105
Nsp3	DCAF1	Q9Y4B6	DCAF1	0.9345	0.0003	1	0.97382	10	100
Nsp3	STML2	Q9UJZ1	STOML2	1	0.0011	1	0.99405	9	90
Nsp3	FANCI	Q9NVI1	FANCI	0.9909	0.0003	0.7423	0.81456	9	90
Nsp3	UBF1	P17480	UBTF	0.9976	0.0005	1	0.9933	8.5	85
Nsp5	PIMT	P22061	PCMT1	0.9814	0.0167	0.8078	0.8566	43	5.16
S	ABCF1	Q8NE71	ABCF1	0.9947	0.0004	1	0.9924	8.5	85
Nsp13	M10L1	Q9BXT6	MOV10L1	0.9999	0.0147	1	0.99411	268	2680
Nsp13	PTCD3	Q96EY7	PTCD3	0.9991	0.0005	0.7282	0.80746	9.5	95
Nsp8	HECD1	Q9ULT8	HECTD1	0.9975	0.0006	1	0.99326	27.77777778	83.33333333
Nsp8	GCN1	Q92616	GCN1	0.998	0.0004	0.9191	0.93797	22.77777778	68.33333333
Nsp8	ITPR3	Q14573	ITPR3	0.9939	0.0004	1	0.99216	20.36666667	203.6666667
Nsp8	HERC1	Q15751	HERC1	0.9802	0.0002	1	0.98792	18.88888889	28.33333333
Nsp8	AT2A3	Q93084	ATP2A3	0.9852	0.0008	1	0.98949	17.66666667	5.888888889
Nsp8	SYRM	Q5T160	RARS2	0.9971	0.0015	1	0.99316	16.7	167
Nsp8	XPO1	O14980	XPO1	0.9913	0.0008	1	0.99135	16.33333333	5.444444444
Nsp8	COPB	P53618	COPB1	0.9964	0.0008	1	0.99293	15	5
Nsp8	C1TC	P11586	MTHFD1	1	0.0008	0.7516	0.82377	14.77777778	11.08333333
Nsp8	XPO2	P55060	XPO2	0.9906	0.0008	1	0.99115	14.7	147
Nsp8	ACLY	P53396	ACLY	0.9994	0.0006	0.7572	0.82739	13.22222222	7.933333333
Nsp8	PSAL	A6NEC2	NPEPPSL1	1	0.0007	1	0.99404	12.88888889	7.733333333
Nsp8	FANCI	Q9NVI1	FANCI	1	0.0004	1	0.99403	11.03333333	110.3333333
Nsp8	MY18A	Q92614	MYO18A	0.988	0.0003	1	0.99034	11.03333333	110.3333333
Nsp8	MSH6	P52701	MSH6	0.9996	0.0004	1	0.99392	9.366666667	93.66666667
Nsp8	TBC15	Q8TC07	TBC1D15	0.9974	0.0007	1	0.99324	9.033333333	90.33333333
Nsp8	CAND1	Q86VP6	CAND1	0.9928	0.0004	1	0.99182	8.777777778	26.33333333
